name,commits,lastCommit
neo4j/neo4j,77553,2023-07-07T12:32:47
netflix/blitz4j,141,2023-02-06T03:03:19
odnoklassniki/one-nio,292,2023-07-27T11:17:28
netflix/hystrix,2119,2023-05-20T08:27:01
datastax/java-driver,1810,2023-08-22T10:27:53
shopizer-ecommerce/shopizer,26,2023-04-26T02:47:50
inqbarna/tablefixheaders,121,2023-05-25T12:01:07
jonasoreland/runnerup,3140,2023-08-03T02:43:42
journeyapps/zxing-android-embedded,1305,2022-10-21T08:40:04
linkedin/rest.li,2841,2023-08-26T01:05:48
apache/isis,21265,2022-10-07T10:18:18
hawtio/hawtio,9212,2023-09-05T08:50:06
dianping/cat,7411,2023-06-17T11:49:19
baqend/orestes-bloomfilter,412,2023-06-26T01:37:53
orientechnologies/orientdb,21532,2023-09-05T02:54:23
flyway/flyway,3138,2023-08-30T10:14:34
alluxio/alluxio,34338,2023-09-05T10:01:20
lwjgl/lwjgl3,3910,2023-08-27T07:30:22
pebbletemplates/pebble,1243,2023-07-01T12:01:40
camunda/camunda-bpm-platform,19143,2023-09-05T02:47:32
apache/jena,10895,2023-09-02T09:04:06
oracle/opengrok,7374,2023-08-22T12:56:25
reactivex/rxjava,6047,2023-09-05T07:33:27
lealone/lealone,2842,2023-09-05T01:56:38
jetbrains/jediterm,1128,2023-08-17T05:44:56
paulfitz/daff,576,2023-03-13T05:52:52
alibaba/canal,1587,2023-09-04T11:34:06
seleniumhq/selenium,30303,2023-09-05T08:34:35
netflix/ribbon,903,2023-02-08T12:57:20
esri/geometry-api-java,266,2023-09-03T05:20:56
threeten/threetenbp,3254,2023-03-30T09:42:57
ratpack/ratpack,6302,2023-02-17T12:50:55
slimeknights/tinkersconstruct,8108,2023-08-09T07:07:40
processing/processing,13211,2023-01-31T12:21:20
openpnp/openpnp,4282,2023-03-15T12:23:31
koral--/android-gif-drawable,1147,2023-08-29T05:59:15
square/android-times-square,345,2023-05-28T01:46:37
square/javapoet,899,2023-09-04T02:08:00
google/dagger,3969,2023-09-02T01:27:45
prometheus/client_java,583,2023-08-05T11:17:26
kairosdb/kairosdb,1436,2023-06-14T03:22:32
bastillion-io/bastillion,746,2023-08-21T09:16:39
netflix/evcache,724,2023-07-26T09:40:52
mybatis/generator,1948,2023-08-31T08:36:33
mybatis/jpetstore-6,1442,2023-09-02T05:15:24
ikarus23/mifareclassictool,1100,2023-08-18T01:22:35
undera/jmeter-plugins,3427,2023-08-31T08:31:01
mybatis/mybatis-3,4686,2023-09-02T05:35:34
libgdx/ashley,414,2023-04-18T12:31:29
bazaarvoice/jolt,412,2023-05-26T02:19:24
mybatis/spring,2108,2023-08-31T08:43:12
owlcs/owlapi,2828,2023-02-28T09:57:59
pubnub/java,1097,2023-07-10T09:59:26
vinc3m1/roundedimageview,261,2023-01-27T06:56:33
mock-server/mockserver,4188,2023-02-21T07:34:23
jbake-org/jbake,1326,2023-02-26T11:19:26
netflix/netflix-graph,66,2022-11-09T12:18:04
j256/ormlite-core,1977,2023-04-07T01:34:24
authme/authmereloaded,4131,2023-08-24T01:09:50
elastic/elasticsearch-hadoop,2203,2023-09-05T12:02:22
impossibl/pgjdbc-ng,945,2022-10-01T12:20:25
netflix/zuul,1511,2023-09-03T10:04:31
skylot/jadx,2058,2023-09-04T05:57:40
asciidoctor/asciidoctorj,1773,2023-06-22T10:12:13
